ementa,situacao,indexacao,ano,ultimo_despacho,numero,autor,regime_tramitacao,id_proposicao_principal,id,explicacao_ementa,apreciacao,ultimo_despacho_data,tipo,nome,nome_proposicao_origem,data_apresentacao,tema,link_inteiro_teor
"Acresce e altera dispositivos da Lei nº 10.683, de 28 de maio de 2003, acresce dispositivos à Lei nº 11.356, de 19 de outubro de 2006, cria a Secretaria de Planejamento de Longo Prazo da Presidência da República, cria cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS e Funções Gratificadas, e dá outras providências.",MESA - Arquivada,"Alteração, Lei da Nova Organização Administrativa da Presidência da República e Ministérios, criação, Secretaria de Planejamento de Longo Prazo, Secretário, Ministro de Estado, competência, estrutura organizacional,  transformação, cargo de natureza especial, Subchefe, Secretário Executivo, Secretaria de Relações Institucionais, possibilidade, cessão, requisição, servidor público federal, garantia, recebimento, Gratificação Temporária.
_ Criação, cargo em comissão, (DAS), função gratificada, Administração Pública Federal, estrutura organizacional, Ministério de Planejamento, Orçamento e Gestão, Secretaria do Patrimônio da União, (Sudam), (Sudene), Secretaria de Planejamento de Longo Prazo.",2007,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",377,Poder Executivo,Urgência,,356033,,Proposição Sujeita à Apreciação do Plenário,2007-07-03 00:00:00,Medida Provisória,MPV 377/2007,MPV 377/2007,2007-06-19 00:00:00,Administração Pública; Organização Político-Administrativa do Estado (utilizado até a legislatura 53),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=485924
"Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 15.704.401.380,00, para os fins que especifica.",Tranformada no(a) Lei Ordinária 11527/2007,"Abertura de Crédito, Crédito extraordinário, Ministério da Fazenda, transferência constitucional, repasse, entrega, recursos públicos, Estados, (DF), Municípios, Fundo de Compensação de Exportações, auxílio financeiro, incentivo, exportação, exportador, isenção fiscal, perda, desoneração tributária, (ICMS), (Fundeb).",2007,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",376,Poder Executivo,Urgência,,356032,,Proposição Sujeita à Apreciação do Plenário,2007-07-04 00:00:00,Medida Provisória,MPV 376/2007,MPV 376/2007,2007-06-19 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=485923
"Altera as Leis nºs 8.212 e 8.213, ambas de 24 de julho de 1991, e 9.796, de 5 de maio de 1999, e aumenta o valor dos benefícios da previdência social.  
NOVA EMENTA DA REDAÇÃO FINAL: Altera as Leis nºs 8.213, de 24 de julho de 1991, e 9.796, de 5 de maio de 1999, aumenta o valor dos benefícios da previdência social; e revoga a Medida Provisória nº 316, de 11 de agosto de 2006; dispositivos das Leis nºs 8.213, de 24 de julho de 1991, 8.444, de 20 de julho de 1992, e da Medida Provisória nº 2.187-13, de 24 de agosto de 2001; e a Lei nº 10.699, de 9 de julho de 2003.",Tranformada no(a) Lei Ordinária 11430/2006,"Alteração, Lei Orgânica da Seguridade Social, Lei de Benefícios da Pevidência Social, utilização, grau de risco, totalidade, estabelecimento, empresa, adicional de riscos, acidente do trabalho, contribuição, financiamento, aposentadoria especial, benefício previdenciário, incapacidade, caracterização, acidente de trabalho, comprovação, epidemiologia, ligação, trabalho, agravo, morbidade.  
_ Fixação, (INPC), índice, aumento, reajuste, correação anual, benefício previdenciário, aposentadoria, pensão previdenciária.  
_  Autorização, acesso, aposentadoria, exterior, servidor, transferência, país estrangeiro, vinculação, Regime Próprio de Previdência Social, contagem, período, contribuição previdenciária, Regime Geral de Previdência Social, acordo internacional, Seguridade Social.  
_ Fixação, percentual, aumento, reajuste, benefício previdenciário, mês, agosto, segurado, aposentadoria, pensão previdenciária, superioridade, valor, piso previdenciário, salário mínimo.  
_ Revogação, dispositivos, salário mínimo.",2006,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",316,Poder Executivo,Urgência,,332482,"Estabelece que deve ser adotado um único grau de risco para todos os estabelecimentos da empresa para fins de contribuição para o financiamento das aposentadorias especiais e dos benefícios por incapacidade decorrentes dos ambientes de trabalho; caracteriza a incapacidade acidentária quando for estabelecido nexo técnico epidemiológico entre o trabalho e o agravo correspondente, considerando-se o ramo de atividade da empresa e a entidade mórbida da incapacidade elencada na CID-10 (Classificação Internacional de Doenças); estabelece o INPC como índice de reajuste anual dos benefícios; autoriza o acesso à aposentadoria de servidor no exterior; fixa em 5,01% (cinco inteiros e um centésimo por cento) o aumento dos benefícios previdenciários dos segurados da Previdência Social cujos valores superam um salário mínimo , a partir de 1º de agosto de 2006.",Proposição Sujeita à Apreciação do Plenário,2006-08-29 00:00:00,Medida Provisória,MPV 316/2006,MPV 316/2006,2006-08-11 00:00:00,Previdência e Assistência Social,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=414866
"Modifica a Lista de Serviços Tributáveis pelo Imposto sobre Serviços de Qualquer Natureza - ISS  anexa à Lei Complementar nº 116, de 31 de julho de 2003.",MESA - Aguardando Apreciacao do Veto,"Alteração, Lei do ISS, inclusão, lista de serviços, divulgação, texto, desenho, material, publicidade, exclusão, base de cálculo, valor, desconto, locação, espaço, outdoor, propaganda, agência, empresa de publicidade.",2004,"Às Comissões de 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD)",230,Antonio Carlos Mendes Thame,Urgência,,274311,"Inclui na Lista de Serviços Tributáveis do ISS a veiculação de textos, desenhos e material de publicidade; exclui da base de cálculo valores referentes a descontos legais e locação de espaços usados na veiculação.",Proposição Sujeita à Apreciação do Plenário,2004-12-29 00:00:00,Projeto de Lei Complementar,PLP 230/2004,PLP 230/2004,2004-12-22 00:00:00,Tributação,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=260377
Requer urgência para a apreciação do Projeto de Lei nº 5.844.,PLEN - Aguardando Providências Internas,,2013,,8091,Arthur Lira,.,582341,582605,,.,,Requerimento de Urgência (Art. 155 do RICD),REQ 8091/2013 => PL 5844/2013,REQ 8091/2013 => PL 5844/2013,2013-07-02 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1104598
"Autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas à aquisição e produção de bens de capital e à inovação tecnológica, altera as Leis nºs 10.925, de 23 de julho de 2004, e 11.948, de 16 de junho de 2009, e dá outras providências.",Tranformada no(a) Lei Ordinária 12096/2009,"_ Autorização, União Federal, concessão, subvenção econômica, (BNDES), equalização de taxas de juros, operação financeira, financiamento, destinação, aquisição, produção, bens de capital, inovação tecnológica, empresa, exigência, comprovação, responsabilidade, utilização, recursos financeiros, apresentação, declaração, critérios, beneficiário, contratação, empréstimo, normas, Conselho Monetário Nacional, regulamentação, metodologia, Ministério da Fazenda.  
_ Alteração, legislação tributária federal, prorrogação, prazo, desoneração tributária, redução, alíquota zero, (PIS-Pasep), (Cofins), incidência, comercialização, importação, farinha de trigo, trigo, pão.  
_ Alteração, lei federal, ampliação, recursos públicos, (BNDES), autorização, União Federal, concessão, crédito, redução, juros, remuneração, Tesouro Nacional, contrato, utilização, recursos financeiros, captação, operação de crédito, utilização, contrapartida, valor, moeda nacional, cotação, moeda estrangeira, dólar, variação, taxa cambial, divulgação, (Bacen), montante, fixação, base de cálculo, custo, prazo, ressarcimento, alienação direta, título de crédito, sociedade de economia mista, empresa pública, beneficiário, crédito, setor, petróleo.  
_ Alteração, lei federal, ampliação, recursos públicos, (BNDES), autorização, União Federal, renegociação, operação de crédito, equivalência, valor, saldo, operação de crédito, aprovação, Ministério da Fazenda, critérios, limitação, montante.  
_Redução, alíquota zero, contribuição social, (Pis-Pasep), (Cofins), desoneração tributária, renúncia fiscal, venda, importação, fabricação, motocicleta, incidência, (TIPI).  
_Revogação, dispositivo, Medida Provisória, apoio financeiro, União Federal, municípios, (FPM), operação de crédito, (BNDES), Decreto, normas, processo administrativo fiscal, prazo, interposição, recurso judicial.",2009,"Emendas do SF ao PLV 15/09.
Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",465,Poder Executivo,Urgência,,440177,,Proposição Sujeita à Apreciação do Plenário,2009-10-30 00:00:00,Medida Provisória,MPV 465/2009,MPV 465/2009,2009-06-30 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53); Tributação",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=667987
Cria o Programa Especial de Habitação Popular - PEHP e dá outras providências.,Tranformada no(a) Lei Ordinária 10840/2004,"Criação, Programa Especial de Habitação Popular, oferta, moradia, população carente, limitação, renda familiar, auxílio financeiro, produção, aquisição, casa própria, lote, material de construção, urbanização, assentamento populacional, requalificação, zona urbana, recursos, (FDS), (FAS), destinação, (CEF).  
_ Prorrogação, prazo, podutor rural, subscrição, termo de compromisso, termo de responsabilidade, ajustamento, conduta, plantio, comercialização, safra, soja, produto, transgênico.",2003,"Of. 330/2004-CN, de 27/05/2004, comunicando a manutenção dos Vetos Presidenciais e encaminhando a Ata de Apuração dos votos de Vetos Presidenciais constantes da cédula única de votação utilizada na sessão conjunta realizada no dia 20/05/2004. DCD de 03/06/2004 - Suplemento, p. 3.",133,Poder Executivo,Urgência,,139375,,Proposição Sujeita à Apreciação do Plenário,2004-06-02 00:00:00,Medida Provisória,MPV 133/2003,MPV 133/2003,2003-10-24 00:00:00,Desenvolvimento Urbano e Trânsito; Política Fundiária,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=176217
"Abre crédito extraordinário, em favor de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 900.000.000,00, para os fins que especifica.",Tranformada no(a) Lei Ordinária 10967/2004,"Abertura de crédito, crédito extraordinário, (MF), transferência, repasse, entrega, recursos públicos, Estados, (DF), Municípios, auxílio financeiro, incentivo, fomento, exportação, Fundo de Compensação de Exportações, compensação, exportador, isenção fiscal, perda, (ICMS).",2004,Publique-se. Submeta-se ao Plenário.,194,Poder Executivo,Urgência,,259289,Destinando crédito extraordinário para auxílio financeiro visando fomentar as exportações - Exercício de 2004.,Proposição Sujeita à Apreciação do Plenário,2004-07-13 00:00:00,Medida Provisória,MPV 194/2004,MPV 194/2004,2004-06-29 00:00:00,"Economia, Administração Financeira e Orçamentária (utilizado até a legislatura 53)",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=231307
"Altera a Lei nº 10.438, de 26 de abril de 2002, na parte em que cria a Conta de Desenvolvimento Energético e estabelece seus objetivos.

NOVA EMENTA:Altera as Leis nºs 10.438, de 26 de abril de 2002, 10.848, de 15 de março de 2004, 12.783, de 11 de janeiro de 2013, 9.074, de 7 de julho de 1995, 12.767, de 27 de dezembro de 2012, e 9.427, de 26 de dezembro de 1996; e dá outras providências.",Originou o(a) PLV 12/2013 MPV60513 => MPV 605/2013,"Alteração, Lei do Setor Elétrico, Conta de Desenvolvimento Energético (CDE), compensação, desconto, tarifa, sistema elétrico, concessão, energia elétrica.",2013,Publique-se. Submeta-se ao Plenário.,605,Poder Executivo,Urgência,,564548,,Proposição Sujeita à Apreciação do Plenário,2013-05-20 00:00:00,Medida Provisória,MPV 605/2013,MPV 605/2013,2013-01-24 00:00:00,"Recursos Hídricos, Minerais e Política Energética",http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1055650
"Acrescenta parágrafo 4º ao artigo 457 da Consolidação das Leis do Trabalho, para excluir do salário do trabalhador rural liberalidades concedidas nas condições que menciona.",Tranformada no(a) Lei Ordinária 9300/1996,"ALTERAÇÃO, LEGISLAÇÃO TRABALHISTA, (CLT).
EXCLUSÃO, SALARIO, TRABALHADOR RURAL, UTILIZAÇÃO, BENS, HABITAÇÃO,
BENS IMOVEIS, BENS DE CONSUMO, EXCEÇÃO, CONTRATO, REGISTRO,
CARTORIO.",1995,DESPACHO AO SENADO FEDERAL.  PL. 102-E/95.,102,Odelmo Leão,Urgência art. 155 RICD,,25037,,Proposição Sujeita à Apreciação do Plenário,1996-06-18 00:00:00,Projeto de Lei,PL 102/1995,PL 102/1995,1995-03-07 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=39656
"Dispõe sobre as operações de crédito rural, contratadas com recursos do Fundo Constitucional de Financiamento do Nordeste - FNE, na área de atuação da Agência de Desenvolvimento do Nordeste - ADENE, e não renegociadas, nos termos da Lei nº 10.177, de 12 de janeiro de 2001, e dá outras providências.  
NOVA EMENTA DA REDAÇÃO FINAL DO PLV nº 16 de 2006: Dispõe sobre a repactuação de dívidas oriundas de operações de crédito rural na área de atuação da Agência de Desenvolvimento do Nordeste - ADENE; altera a Lei nº 7.827, de 27 de setembro de 1989; e dá outras providências.  
NOVA EMENTA DA REDAÇÃO FINAL DO PLV nº 19 de 2006: Dispõe sobre a renegociação de dívidas oriundas de operações de crédito rural contratadas na área de atuação da Agência de Desenvolvimento do Nordeste - ADENE e dá outras providências.",Tranformada no(a) Lei Ordinária 11322/2006,"Critérios, renegociação, dívida,  produtor rural,  crédito rural, (FNE), atuação, (ADENE), limitação, valor, prazo, apuração, saldo devedor, prorrogação, composição, redução, encargos financeiros, inadimplência, multa, mora, pagamento, concessão, desconto, quitação, parcela, cálculo, amortização, contratação, repactuação,  índice, taxas, ajustamento, diferenciação, mini produtor rural, pequeno produtor rural, médio produtor rural, cooperativa rural, associação rural, inscrição, dívida ativa, mutuário, ausência, acordo, normas implementação, Conselho Monetário Nacional.",2006,"Publique-se. Submeta-se ao Plenário.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Urgência",285,Poder Executivo,Urgência,,316493,,Proposição Sujeita à Apreciação do Plenário,2006-06-07 00:00:00,Medida Provisória,MPV 285/2006,MPV 285/2006,2006-03-07 00:00:00,Política Fundiária,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=382565
"Aprova o texto do Acordo de Parceria e de Cooperação em Matéria de Segurança Pública, celebrado entre o Governo da República Federativa do Brasil e o Governo da República Francesa, em Brasília, em 12 de março de 1997.",Tranformada no(a) Decreto Legislativo 126/2007,"APROVAÇÃO, CONGRESSO NACIONAL, TEXTO, ATO INTERNACIONAL, ACORDO 
INTERNACIONAL, PARCERIA, ACORDO DE COOPERAÇÃO, MATERIA, SEGURANÇA PUBLICA, CRIME ORGANIZADO, TRAFICO INTERNACIONAL, ENTORPECENTE, DROGAS, TOXICO, ARMA, IRREGULARIDADE, IMIGRAÇÃO, TERRORISMO, COMBATE, CORRUPÇÃO, FRAUDE, DINHEIRO, SEGURANÇA, PORTO, AEROPORTO, FRONTEIRA, RECRUTAMENTO, SELEÇÃO, PESSOAL, PAIS, BRASIL, PAIS ESTRANGEIRO, FRANÇA.",1997,"DESPACHO AO SENADO FEDERAL.  PDC 573-A/97.
DCD 05 11 97 PAG 35191 COL 02.",573,Comissão de Relações Exteriores e de Defesa Nacional,Urgência art. 155 RICD,,13948,URGENTE 155.,Proposição Sujeita à Apreciação do Plenário,1997-11-04 00:00:00,Projeto de Decreto Legislativo,PDC 573/1997,PDC 573/1997,1997-10-16 00:00:00,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=37599
