data_votacao,tipo,nome,ano,id,numero
1991-05-22,PDC,PDC 369/1990,1990,168842,369
1991-05-22,PDC,PDC 370/1990,1990,168845,370
1991-05-22,PDC,PDC 374/1990,1990,168854,374
1991-06-19,PL,PL 1232/1991,1991,189389,1232
1991-06-26,PLP,PLP 181/1989,1989,234237,181
1991-06-27,PL,PL 912/1991,1991,184376,912
1991-06-28,PDC,PDC 66/1991,1991,167073,66
1991-06-28,PL,PL 1050/1991,1991,186537,1050
1991-08-28,PL,PL 638/1991,1991,180097,638
1991-09-04,PDC,PDC 87/1991,1991,167304,87
1991-09-04,PL,PL 4570/1989,1989,222606,4570
1991-09-17,PL,PL 1263/1991,1991,189826,1263
1991-09-19,PDC,PDC 66/1991,1991,167073,66
1991-10-08,PL,PL 1911/1991,1991,197594,1911
1991-10-23,PL,PL 4790/1990,1990,224374,4790
1991-10-29,PL,PL 4790/1990,1990,224374,4790
1991-11-06,PEC,PEC 45/1991,1991,169313,45
1991-11-07,PDC,PDC 63/1991,1991,167035,63
1991-11-28,PL,PL 822/1991,1991,182971,822
1991-12-03,PL,PL 1793/1991,1991,196258,1793
1991-12-03,PL,PL 5996/1990,1990,229626,5996
1991-12-03,PL,PL 822/1991,1991,182971,822
1991-12-04,PEC,PEC 45/1991,1991,169313,45
1991-12-04,PL,PL 5996/1990,1990,229626,5996
1991-12-11,PEC,PEC 45/1991,1991,169313,45
1991-12-12,PDC,PDC 124/1991,1991,167711,124
1991-12-12,PL,PL 2366/1991,1991,202770,2366
1991-12-15,PL,PL 2158/1991,1991,200414,2158
1991-12-16,PL,PL 2452/1991,1991,203620,2452
1991-12-17,PL,PL 2155/1991,1991,200379,2155
1991-12-17,PL,PL 4580/1990,1990,20976,4580
1991-12-18,PL,PL 2155/1991,1991,200379,2155
1991-12-18,PL,PL 2159/1991,1991,200425,2159
1991-12-18,PL,PL 2452/1991,1991,203620,2452
1991-12-18,PL,PL 91/1991,1991,171333,91
1992-03-11,PEC,PEC 61/1990,1990,169349,61
1992-03-18,PL,PL 2145/1991,1991,200263,2145
1992-03-24,PL,PL 2592/1992 STF,1992,204916,2592
1992-03-25,PEC,PEC 51/1990,1990,169325,51
1992-03-25,PEC,PEC 61/1990,1990,169349,61
1992-03-25,PL,PL 2592/1992 STF,1992,204916,2592
1992-03-26,PEC,PEC 51/1990,1990,169325,51
1992-04-01,PDC,PDC 82/1991,1991,167248,82
1992-04-29,PL,PL 2747/1992,1992,206375,2747
1992-04-29,PL,PL 4573/1990,1990,222630,4573
1992-05-06,PL,PL 2747/1992,1992,206375,2747
1992-05-13,PL,PL 1991/1991,1991,198511,1991
1992-05-27,PEC,PEC 51/1990,1990,169325,51
1992-06-03,PEC,PEC 82/1991,1991,14351,82
1992-06-03,PL,PL 202/1991,1991,173076,202
1992-06-04,PL,PL 202/1991,1991,173076,202
1992-06-09,PL,PL 202/1991,1991,173076,202
1992-06-10,PL,PL 4573/1990,1990,222630,4573
1992-06-23,PEC,PEC 82/1991,1991,14351,82
1992-06-24,PL,PL 2990/1992,1992,208631,2990
1992-06-25,PL,PL 8/1991,1991,170038,8
1992-06-30,PEC,PEC 82/1991,1991,14351,82
1992-07-07,PEC,PEC 51/1990,1990,169325,51
